epoch,trainloss,testloss,accuracy,precision,recall,fscore,kappa,earliness,classification_loss,earliness_reward
1,7.2621064,5.874639,0.3723076923076923,0.19609522178455216,0.14269527028580625,0.0777305122533942,0.0002442935079687292,0.7391304347826086,13.707129,1.9578483
2,4.6847253,4.9450283,0.648034188034188,0.20104105587883944,0.20871191740819942,0.19672990693664413,0.351351412480005,0.7391304347826086,12.185738,2.2956824
3,4.105374,5.0350018,0.6203418803418803,0.18220533625960927,0.20328757674001516,0.19045745642997566,0.31299638870820157,0.7391304347826086,12.389422,2.3194182
4,3.767957,4.818608,0.5851282051282052,0.16744603701348154,0.19665907888988526,0.18069349381484495,0.26726199387910277,0.7391304347826086,12.011359,2.3741426
5,3.4336438,4.3275146,0.6808547008547009,0.2072458791208791,0.22127842542135154,0.20876962668423368,0.4153851506506159,0.7391304347826086,11.112134,2.4571059
6,2.8549082,4.5662227,0.6422222222222222,0.18475912428721847,0.21414039686371894,0.1983493053597797,0.3626741135563929,0.7391304347826086,11.556906,2.4244614
7,2.2817419,4.3154707,0.7034188034188035,0.21835504664393288,0.2279257777471201,0.21567920924330458,0.45437025250108865,0.7393360584664932,11.126458,2.495517
8,1.983061,4.503196,0.6123076923076923,0.2627200872397627,0.32793084571426057,0.2509025463057491,0.44184203319297843,0.7605673231760188,11.537538,2.531147
9,1.6362945,4.8413734,0.528034188034188,0.24050411837870464,0.3050998805295254,0.21488436113612902,0.31111437624926197,0.8462009166356992,12.464064,2.781315
10,1.3787327,4.680321,0.5292307692307693,0.2401284742873076,0.3059993234311114,0.21574130108971604,0.31702407853741943,0.8381766381766382,12.159692,2.7990494
11,1.1281253,5.585903,0.4753846153846154,0.2386407721165872,0.290579581415522,0.18831006736534553,0.25599463529931277,0.8484801189149015,13.81196,2.640154
12,1.0370995,4.4136095,0.532991452991453,0.24262472964830034,0.30744334444254406,0.21698123950121964,0.32508467796697205,0.8396482100829927,11.645941,2.8187232
13,1.0013639,4.00676,0.5531623931623931,0.28996204167935963,0.31463242864298807,0.231913215337779,0.341564094323498,0.8421528551963334,10.951675,2.938153
14,0.8646555,4.866317,0.5314529914529914,0.29836660416912614,0.3099736740133214,0.22711396636288889,0.31030912763116725,0.8538684503901895,12.552165,2.8195317
15,0.67208415,4.4884706,0.5454700854700855,0.28870633971684756,0.31483513015461717,0.23340748311865148,0.3328196101019101,0.8451727982162764,11.840319,2.8633773
16,0.6541382,4.5065713,0.5502564102564103,0.28872909023077087,0.3151224136517854,0.23658833986327885,0.33471528095418457,0.84699863743342,11.880825,2.8676825
17,0.62112767,4.305622,0.5567521367521368,0.28559167040449945,0.320416957787616,0.244087802329274,0.3472773716066464,0.8447318221231265,11.526764,2.9155197
18,0.57882494,4.3841047,0.5642735042735043,0.3178751187506168,0.34165522264099646,0.2754569273633267,0.35248792986070787,0.8517676204632727,11.676752,2.9085433
19,0.44166687,4.0347304,0.5914529914529915,0.3223332409159157,0.36239265241760543,0.3031602125919166,0.386931035036158,0.8476278954539824,11.049889,2.9804265
20,0.41079256,3.950197,0.5955555555555555,0.31732279616593867,0.36163263830815645,0.30077566249377474,0.3944903172959807,0.8442363433667781,10.89449,2.9940963
21,0.6703907,3.795963,0.5801709401709402,0.2913984226504193,0.3221355280836982,0.24530674287614115,0.3780460327145293,0.8400123869689087,10.559022,2.9670968
22,0.51709163,3.6129928,0.5933333333333334,0.304729494331787,0.3290110463101263,0.2523591867458507,0.394525941806117,0.8436863619472315,10.258643,3.032659
23,0.37144753,3.709131,0.6311111111111111,0.31544894351654046,0.3611218422466252,0.3038716696855922,0.45053309297338884,0.830258887650192,10.455249,3.0369873
24,0.2916927,3.1909528,0.68,0.3386202024255637,0.38140703057716785,0.3321747555400275,0.5092187524578389,0.8249250588381023,9.556668,3.1747625
25,0.2828764,3.7185457,0.6533333333333333,0.3276835424892449,0.36075835479563834,0.3016037971500886,0.47572108899302856,0.827229035055122,10.503507,3.0664148
26,0.25353163,3.3441994,0.6791452991452992,0.3386381234662504,0.3765021214443838,0.3228793475937786,0.5107985458748575,0.8211618976836368,9.824813,3.1364143
27,0.27756783,3.3878036,0.6753846153846154,0.3345778865077221,0.39754266518270487,0.3396737010996026,0.5119335876627755,0.8193707419794376,9.830873,3.0552666
28,0.18696433,2.8658874,0.7276923076923076,0.35334072820553725,0.3924835459274811,0.34246852643811454,0.5800269287866223,0.8078211321689582,8.983825,3.2520492
29,0.12394304,2.8393393,0.7512820512820513,0.367666410005093,0.4123759045579175,0.3663594363876553,0.6140029267164937,0.8059556546513068,8.918763,3.240085
30,0.06571527,2.8328104,0.7482051282051282,0.3681856314717295,0.42625859737582017,0.37609966059850286,0.6113018003203483,0.8042908460299765,8.943992,3.2783706
31,0.059346143,2.8371694,0.7497435897435898,0.36201606719899415,0.4346720688654777,0.38259865871483417,0.6124224654862125,0.8041694537346711,8.9320345,3.257695
32,0.024659114,2.9041746,0.7505982905982906,0.36387375640978015,0.43751868149322176,0.3826000163726122,0.6160563276628825,0.8026235600148643,9.042564,3.234215
33,-0.0044829566,2.8867092,0.7494017094017094,0.3697398126835858,0.4309870459520546,0.3790244749845698,0.6148743872404558,0.8015558032949337,9.0217905,3.2483723
34,-0.03936293,2.7307637,0.76,0.36899791503188134,0.43809218844292447,0.3853612114977124,0.6303131513258522,0.8016301251083859,8.756482,3.294954
35,-0.04709588,2.8553255,0.7502564102564102,0.3738317428611812,0.42087090331483346,0.37159833845822515,0.6169637956986076,0.8015285519633346,8.984213,3.273562
36,-0.03922951,2.6441395,0.7601709401709402,0.3751947463170935,0.4387499936241271,0.3872373935456741,0.6318573193069621,0.8022866344605475,8.586917,3.2986376
37,-0.095104575,2.5330126,0.7758974358974359,0.3887379314154452,0.4379620035916174,0.3909316286946713,0.6541252620944764,0.7984144679796854,8.402456,3.3364294
38,-0.06310082,2.5300932,0.765982905982906,0.365023373644047,0.43987369560763484,0.38596956148271616,0.6392800275004136,0.8010751889012758,8.412726,3.3525407
39,-0.104603365,2.062682,0.8013675213675213,0.3990016277744662,0.4499831512281637,0.40883621485566185,0.6891954154163409,0.8015558032949337,7.6086245,3.483261
40,-0.1296541,2.2775161,0.790940170940171,0.383107514046587,0.4493629911646576,0.4019447563865627,0.6739155403169659,0.7980428589124241,8.004359,3.4493258
41,-0.11860824,2.2935936,0.7863247863247863,0.3763575796517626,0.44744220013279323,0.3981431086435222,0.6672745588913793,0.8010925306577481,8.051964,3.4647765
